rank,hub,addr,grid80,id_name,family,roles,folder,delta,map_start,uniq_u16,usefulness,same_9979,call_site,axis_x,axis_y,fam_label,family_id_re,notes
1,B,0x1D0AA8,0xA01D0AA8,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x4C,0x1D0A5C,29,10,1,0x8010FED6,,0xA01B6818,B_fam_unkX_unkY_1D0AA8,B_fam_0025,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x4C (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4e23ee78a921 uniq_u16=29
22,2d,0x1D1E64,0xA01D1E64,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x14C,0x1D1D18,30,30,1,0x80074DB2,0xA01A2710,0xA01AD8D0,fam_unkX_unkY_1D1E64,fam_0036,medium: pointe DANS smoke_mapA @0x1D1D18 +0x14C (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e1af9780e7ca uniq_u16=30
23,2d,0x1D10A0,0xA01D10A0,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x174,0x1D0F2C,1,30,1,0x800CD17E,0xA01A4628,0xA01B783C,fam_D0002D9E_unkY_1D10A0,fam_0042,medium: pointe DANS smoke_mapA @0x1D0F2C +0x174 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1
24,2d,0x1D296C,0xA01D296C,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x1A4,0x1D27C8,30,30,1,0x800F04A4,0xA01B585C,,fam_unkX_unkY_1D296C,fam_0098,medium: pointe DANS smoke_mapA @0x1D27C8 +0x1A4 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7dc7cfa069a5 uniq_u16=30
25,2d,0x1D10DC,0xA01D10DC,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x1B0,0x1D0F2C,1,30,1,0x8008797E,0xA01A88EC,0xA01A74E4,fam_D000249A_D0002498_1D10DC,fam_0061,medium: pointe DANS smoke_mapA @0x1D0F2C +0x1B0 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1
26,G,0x1D26F4,0xA01D26F4,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x1D8,0x1D251C,25,30,1,0x800974A6,,,G_fam_D0002452_unkY_1D26F4,G_fam_0020,medium: pointe DANS smoke_mapA @0x1D251C +0x1D8 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=c9ebb0b4399c uniq_u16=25
27,B,0x1D1F00,0xA01D1F00,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x1E8,0x1D1D18,29,30,1,0x800F4BA8,0xA01B38C0,0xA01A06D4,B_fam_D0001D60_D0001D62_1D1F00,B_fam_0022,medium: pointe DANS smoke_mapA @0x1D1D18 +0x1E8 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=e0a826f82460 uniq_u16=29
28,H,0x1D2706,0xA01D2706,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x1EA,0x1D251C,27,30,1,0x8009904A,,,H_fam_unkX_unkY_1D2706,H_fam_0077,medium: pointe DANS smoke_mapA @0x1D251C +0x1EA (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=111dcbefb56b uniq_u16=27
29,2d,0x1D29CC,0xA01D29CC,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x204,0x1D27C8,28,30,1,0x800B765C,0xA01A9904,,fam_unkX_unkY_1D29CC,fam_0020,medium: pointe DANS smoke_mapA @0x1D27C8 +0x204 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=0af39bd3e9b7 uniq_u16=28
30,H,0x1D272C,0xA01D272C,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x210,0x1D251C,28,30,1,0x80098FFC,,,H_fam_unkX_unkY_1D272C,H_fam_0072,medium: pointe DANS smoke_mapA @0x1D251C +0x210 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=7326ffd699cb uniq_u16=28
31,D,0x1D24AC,0xA01D24AC,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x23C,0x1D2270,29,30,1,0x801056A4,,,D_fam_unkX_unkY_1D24AC,D_fam_0229,medium: pointe DANS smoke_mapA @0x1D2270 +0x23C (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=0d5cfd64ca01 uniq_u16=29
