Golf 9980 - Stage1 VALIDATED pack (auto)
Source: hub grids + atlas START fingerprints vs atlas 9979 / A2L
HIGH = rename OK (skip AccPed if already labeled) | MEDIUM = comment only

counts: unique_addrs=357  high=145  medium=212

=== CHECKLIST: HIGH (all) ===
  high   801C04AC   1C04AC     turbo_base3B             16x20
  high   801C072C   1C072C     turbo_base3B@1C072C      16x20
  high   801C09AC   1C09AC     turbo_base3B@1C09AC      16x20
  high   801C0C2C   1C0C2C     turbo_base3B@1C0C2C      16x20
  high   801C0EAC   1C0EAC     turbo_base3B@1C0EAC      16x20
  high   801C112C   1C112C     turbo_base3B@1C112C      16x20
  high   801C13AC   1C13AC     turbo_base3B@1C13AC      16x20
  high   801C162C   1C162C     turbo_base3B@1C162C      16x20
  high   801C18AC   1C18AC     turbo_base3B@1C18AC      16x20
  high   801C1B2C   1C1B2C     turbo_base3B@1C1B2C      16x20
  high   801C1DAC   1C1DAC     turbo_base3B@1C1DAC      16x20
  high   801C202C   1C202C     turbo_base3B@1C202C      16x20
  ... +33 more

=== turbo_corr (21) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801C3AAC   1C3AAC     turbo_int_trq_correction 12x16
  high   801C3DAC   1C3DAC     turbo_int_trq_correction 12x16
  high   801C40AC   1C40AC     turbo_int_trq_correction 12x16
  high   801C43AC   1C43AC     turbo_int_trq_correction 12x16
  high   801C46AC   1C46AC     turbo_int_trq_correction 12x16
  high   801C58AC   1C58AC     turbo_int_trq_correction 12x16
  high   801C5BAC   1C5BAC     turbo_int_trq_correction 12x16
  high   801C5EAC   1C5EAC     turbo_int_trq_correction 12x16
  high   801C67AC   1C67AC     turbo_int_trq_correction 12x16
  high   801C3ABC   1C3ABC     turbo_int_trq_correction 12x16
  high   801C3AC4   1C3AC4     turbo_int_trq_correction 12x16
  medium 801C3B50   1C3B50     turbo_int_trq_correction 12x16
  ... +9 more

=== turbo_other (3) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801C692C   1C692C     turbo_atm6A              8x16
  high   801C6A2C   1C6A2C     turbo_atm6A@1C6A2C       8x16
  medium 801C6978   1C6978     turbo_atm6A              8x16

=== rail (38) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801E9368   1E9368     rail_base_int_trq2B      16x16
  high   801E9768   1E9768     rail_base_int_trq2B@1E97 16x16
  high   801E9968   1E9968     rail_base_int_trq2B@1E99 16x16
  high   801E9B68   1E9B68     rail_base_int_trq2B@1E9B 16x16
  high   801E9D68   1E9D68     rail_base_int_trq2B@1E9D 16x16
  high   801E9F68   1E9F68     rail_base_int_trq2B@1E9F 16x16
  high   801EA168   1EA168     rail_request_horsA2L_ban 16x16
  high   801EA368   1EA368     rail_request_horsA2L_ban 16x16
  high   801EA568   1EA568     rail_request_horsA2L_ban 16x16
  high   801EA768   1EA768     rail_request_horsA2L_ban 16x16
